project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ssltest,0,0,0,0,cc598f321fbac9c04da5766243ed55d55948637d,ssltest,crypto/asn1/tasn_dec.c,0,0,0,0
openssl,fb4f46763fed3c600db21974577061b611b6fa46,v3nametest,0.3482,0.2703,68515339,3.2051,cc598f321fbac9c04da5766243ed55d55948637d,v3nametest,crypto/asn1/tasn_dec.c,0.3528,0.2751,69616113,3.1483
openssl,fb4f46763fed3c600db21974577061b611b6fa46,verify_extra_test,0,0,0,0,cc598f321fbac9c04da5766243ed55d55948637d,verify_extra_test,crypto/asn1/tasn_dec.c,0,0,0,0
openssl,b29ffa392e839d05171206523e84909146f7a77c,bntest,14.4733,11.2600,3456026877,2.2942,d8541d7e9e63bf5f343af24644046c8d96498c17,bntest,crypto/rsa/rsa_ameth.c,14.2167,11.1600,3382862664,2.3112
openssl,b29ffa392e839d05171206523e84909146f7a77c,clienthellotest,0.0281,0.0194,1441212,1.6687,d8541d7e9e63bf5f343af24644046c8d96498c17,clienthellotest,crypto/rsa/rsa_ameth.c,0.0267,0.0181,1471912,1.6535
openssl,b29ffa392e839d05171206523e84909146f7a77c,dhtest,0.0552,0.0383,3884131,2.4816,d8541d7e9e63bf5f343af24644046c8d96498c17,dhtest,crypto/rsa/rsa_ameth.c,0.0581,0.0411,5275581,2.4356
openssl,b29ffa392e839d05171206523e84909146f7a77c,dsatest,1.5404,1.2200,338681699,1.1687,d8541d7e9e63bf5f343af24644046c8d96498c17,dsatest,crypto/rsa/rsa_ameth.c,1.5404,1.2230,334745383,1.1694
openssl,b29ffa392e839d05171206523e84909146f7a77c,ecdhtest,2.5876,2.0312,588487708,3.5275,d8541d7e9e63bf5f343af24644046c8d96498c17,ecdhtest,crypto/rsa/rsa_ameth.c,2.5576,2.0124,578479265,3.5736
openssl,b29ffa392e839d05171206523e84909146f7a77c,ecdsatest,17.0133,13.2267,3953229130,3.6586,d8541d7e9e63bf5f343af24644046c8d96498c17,ecdsatest,crypto/rsa/rsa_ameth.c,17.1667,13.3433,4080409103,3.6154
openssl,b29ffa392e839d05171206523e84909146f7a77c,ectest,28.3600,22.1750,6634050452,3.4240,d8541d7e9e63bf5f343af24644046c8d96498c17,ectest,crypto/rsa/rsa_ameth.c,28.4500,22.4750,6627250704,3.4440
openssl,b29ffa392e839d05171206523e84909146f7a77c,enginetest,0.0572,0.0396,3956946,2.0459,d8541d7e9e63bf5f343af24644046c8d96498c17,enginetest,crypto/rsa/rsa_ameth.c,0.0565,0.0387,3527138,1.9402
openssl,b29ffa392e839d05171206523e84909146f7a77c,evp_extra_test,0.1039,0.0744,11217810,1.4592,d8541d7e9e63bf5f343af24644046c8d96498c17,evp_extra_test,crypto/rsa/rsa_ameth.c,0.1067,0.0783,14298595,1.4493
openssl,b29ffa392e839d05171206523e84909146f7a77c,evp_test,0,0,0,0,d8541d7e9e63bf5f343af24644046c8d96498c17,evp_test,crypto/rsa/rsa_ameth.c,0,0,0,0
openssl,b29ffa392e839d05171206523e84909146f7a77c,exptest,10.4260,8.0980,2487298731,1.3637,d8541d7e9e63bf5f343af24644046c8d96498c17,exptest,crypto/rsa/rsa_ameth.c,10.7750,8.4850,2454236535,1.3584
openssl,b29ffa392e839d05171206523e84909146f7a77c,hmactest,0.0062,0.0043,185332,1.1146,d8541d7e9e63bf5f343af24644046c8d96498c17,hmactest,crypto/rsa/rsa_ameth.c,0.0060,0.0041,161354,1.0443
openssl,b29ffa392e839d05171206523e84909146f7a77c,igetest,0.0207,0.0142,1012098,3.1379,d8541d7e9e63bf5f343af24644046c8d96498c17,igetest,crypto/rsa/rsa_ameth.c,0.0211,0.0145,891322,3.0134
openssl,b29ffa392e839d05171206523e84909146f7a77c,md4test,0.0056,0.0038,181133,0.9780,d8541d7e9e63bf5f343af24644046c8d96498c17,md4test,crypto/rsa/rsa_ameth.c,0.0057,0.0039,160736,1.0724
openssl,b29ffa392e839d05171206523e84909146f7a77c,md5test,0.0054,0.0037,132582,1.0271,d8541d7e9e63bf5f343af24644046c8d96498c17,md5test,crypto/rsa/rsa_ameth.c,0.0053,0.0036,138319,0.9907
openssl,b29ffa392e839d05171206523e84909146f7a77c,mdc2test,0.0053,0.0036,155170,0.9864,d8541d7e9e63bf5f343af24644046c8d96498c17,mdc2test,crypto/rsa/rsa_ameth.c,0.0050,0.0033,123988,0.9578
openssl,b29ffa392e839d05171206523e84909146f7a77c,randtest,0.0103,0.0070,307443,1.2322,d8541d7e9e63bf5f343af24644046c8d96498c17,randtest,crypto/rsa/rsa_ameth.c,0.0090,0.0059,259099,1.2650
openssl,b29ffa392e839d05171206523e84909146f7a77c,rmdtest,0.0053,0.0036,132933,0.9675,d8541d7e9e63bf5f343af24644046c8d96498c17,rmdtest,crypto/rsa/rsa_ameth.c,0.0053,0.0035,126888,0.9257
