project,commit_url,files_modified,found_in_both,vuln_commit,vuln_lines_added,vuln_lines_deleted,fix_commit,fix_lines_added,fix_lines_deleted,cve,cwe
contiki-ng,https://github.com/contiki-ng/contiki-ng/commit/12c824386ab60de757de5001974d73b32e19ad71,os/net/app-layer/snmp/snmp-oid.h;os/net/app-layer/snmp/snmp-engine.h;os/net/app-layer/snmp/snmp.c;os/net/app-layer/snmp/snmp-api.h;os/net/app-layer/snmp/snmp-mib.h;os/net/app-layer/snmp/snmp-conf.h;os/net/app-layer/snmp/snmp-mib.c;tests/08-native-runs/10-snmp-server.sh;os/net/app-layer/snmp/snmp-ber.h;examples/snmp-server/project-conf.h;os/net/app-layer/snmp/snmp-engine.c;os/net/app-layer/snmp/snmp-api.c;os/net/app-layer/snmp/snmp-message.h;os/net/app-layer/snmp/snmp.h;examples/snmp-server/resources/snmp-SNMP-MIB-2-System.c;examples/snmp-server/snmp-server.c;os/net/app-layer/snmp/snmp-oid.c;os/net/app-layer/snmp/snmp-message.c;os/net/app-layer/snmp/snmp-ber.c,No,c61897ab953868db84376016fdf0f6b0a01c240c,0,90,12c824386ab60de757de5001974d73b32e19ad71,1236,1003,CVE-2020-12141,CWE-125
contiki-ng,https://github.com/contiki-ng/contiki-ng/commit/a4597001d50a04f4b9c78f323ba731e2f979802c,os/net/ipv6/uip-nd6.c,No,2dfbaee0a1e394e7709f7b71a3c9b7d05f2cf1bf,4,0,a4597001d50a04f4b9c78f323ba731e2f979802c,10,3,,CWE-20
corosync,https://github.com/corosync/corosync/commit/b3f456a8ceefac6e9f2e9acc2ea0c159d412b595,exec/totemcrypto.c,No,6127be18062e129a74f66449f1ef3c465af58168,15,10,b3f456a8ceefac6e9f2e9acc2ea0c159d412b595,2,2,,
cortx-s3server,https://github.com/Seagate/cortx-s3server/commit/dd6bfbc4b84f14f898598922ca9efd5aaa645c5d,mempool/s3_memory_pool.c,No,320b485b403a28f5cb8bc6d5e1d87e43bf6c4999,1,1,dd6bfbc4b84f14f898598922ca9efd5aaa645c5d,3,0,,CWE-703
cpp-peglib,https://github.com/yhirose/cpp-peglib/commit/0061f393de54cf0326621c079dc2988336d1ebb3,test/test1.cc;peglib.h,No,14305f9f53cde207568f21675a1b9294a3ab28b4,3,1,0061f393de54cf0326621c079dc2988336d1ebb3,28,4,,
cpp-peglib,https://github.com/yhirose/cpp-peglib/commit/b3b29ce8f3acf3a32733d930105a17d7b0ba347e,test/test1.cc;peglib.h,No,d84c2993af4335e2bfb1873ee631cb1eea803d15,4,6,b3b29ce8f3acf3a32733d930105a17d7b0ba347e,14,3,CVE-2020-23915,CWE-125
Crow,https://github.com/CrowCpp/Crow/commit/d17a88af696b9de62504adf2a4657d381733b9e2,include/crow/http_connection.h,No,fde74c4d2e66c76dbe288dfdf080ea1a09d28abd,1,1,d17a88af696b9de62504adf2a4657d381733b9e2,5,3,,
Crow,https://github.com/CrowCpp/Crow/commit/79eec91f00b5fb7df890d4e84b2f048b0841e044,include/crow/query_string.h,No,75c522f4f5568a8b449ffa009348be38405398e6,4,4,79eec91f00b5fb7df890d4e84b2f048b0841e044,1,2,,CWE-703
crun,https://github.com/containers/crun/commit/1aeeed2e4fdeffb4875c0d0b439915894594c8c6,src/exec.c,No,b847d146d496c9d7beba166fd595488e85488562,0,3,1aeeed2e4fdeffb4875c0d0b439915894594c8c6,2,2,CVE-2022-27650,CWE-276
cryptsetup,https://gitlab.com/cryptsetup/cryptsetup/-/commit/52f5cb8cedf22fb3e14c744814ec8af7614146c7,lib/luks2/luks2_json_metadata.c,No,f3ec1e2254e0c1f1e86cd1c4c3fe7b8b39e10af4,13,2,52f5cb8cedf22fb3e14c744814ec8af7614146c7,12,7,,
csync2,https://github.com/LINBIT/csync2/commit/416f1de878ef97e27e27508914f7ba8599a0be22,daemon.c,No,b9749215a9cdc2640de5aa455d099354902d36c1,1057,1081,416f1de878ef97e27e27508914f7ba8599a0be22,1,0,,
curl,https://github.com/curl/curl/commit/70b1900dd13d16f2e83f571407a614541d5ac9ba,CHANGES;src/main.c,No,380e132da3557235e4eb9aa593e79c62100156ea,1,0,70b1900dd13d16f2e83f571407a614541d5ac9ba,10,0,CVE-2018-16842,CWE-125
curl,https://github.com/bagder/curl/commit/192c4f788d48f82c03e9cef40013f34370e90737,lib/escape.c,No,da0db499fd1fed3ab061d8c03d25c06164c9f429,8,6,192c4f788d48f82c03e9cef40013f34370e90737,3,2,CVE-2013-2174,CWE-119
