project,build_type
libuv,MODERN_CMAKE
libvips,LEGACY_AUTOTOOLS
libvirt,UNKNOWN
libvncserver,MODERN_CMAKE
libvpx,LEGACY_AUTOTOOLS
libxkbcommon,LEGACY_AUTOTOOLS
libxml2,LEGACY_AUTOTOOLS
libxslt,LEGACY_AUTOTOOLS
libxsmm,LEGACY_MAKE
libyaml,MODERN_CMAKE
libyang,MODERN_CMAKE
libzmq,MODERN_CMAKE
lighttpd1.4,MODERN_CMAKE
lldpd,LEGACY_AUTOTOOLS
logrotate,LEGACY_AUTOTOOLS
lsquic,MODERN_CMAKE
lxcfs,LEGACY_AUTOTOOLS
lynx-snapshots,LEGACY_AUTOTOOLS
maddy,UNKNOWN
mapserver,LEGACY_AUTOTOOLS
matio,LEGACY_AUTOTOOLS
mbed-coap,LEGACY_MAKE
mbedtls,MODERN_CMAKE
md4c,MODERN_CMAKE
micro-ecc,UNKNOWN
mod_auth_openidc,LEGACY_AUTOTOOLS
mod_h2,LEGACY_AUTOTOOLS
ModSecurity,LEGACY_AUTOTOOLS
mongoose,LEGACY_MAKE
monkey,LEGACY_AUTOTOOLS
mosquitto,MODERN_CMAKE
mpv,UNKNOWN
mruby,LEGACY_MAKE
mysql-wsrep,MODERN_CMAKE
nagioscore,LEGACY_AUTOTOOLS
nanopb,UNKNOWN
nasm,LEGACY_AUTOTOOLS
naviserver,LEGACY_AUTOTOOLS
nbdkit,LEGACY_AUTOTOOLS
ncurses,LEGACY_AUTOTOOLS
nDPI,LEGACY_AUTOTOOLS
nefarious2,LEGACY_AUTOTOOLS
neomutt,LEGACY_AUTOTOOLS
neovim,MODERN_CMAKE
net-snmp,LEGACY_AUTOTOOLS
netdata,MODERN_CMAKE
newsbeuter,LEGACY_MAKE
nghttp2,MODERN_CMAKE
njs,LEGACY_AUTOTOOLS
nmap,LEGACY_AUTOTOOLS
node-lmdb,UNKNOWN
node-sqlite3,LEGACY_MAKE
ntopng,LEGACY_AUTOTOOLS
ok-file-formats,MODERN_CMAKE
olm,MODERN_CMAKE
ompl,MODERN_CMAKE
oniguruma,MODERN_CMAKE
open5gs,UNKNOWN
open62541,MODERN_CMAKE
openfortivpn,LEGACY_AUTOTOOLS
openj9,MODERN_CMAKE
openjpeg,MODERN_CMAKE
