project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,aarp-heapoverflow-2,1.9705,1.3005,70164641,0.9958,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,aarp-heapoverflow-2,print-rt6.c,1.6745,1.0725,36172897,1.0236
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,mpls-label-heapoverflow,1.9910,1.3000,66846101,1.0189,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,mpls-label-heapoverflow,print-rt6.c,1.7138,1.1100,41170368,1.0305
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,bad-ipv4-version-pgm-heapoverflow,2.3268,1.6086,146326196,1.0905,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,bad-ipv4-version-pgm-heapoverflow,print-rt6.c,1.6930,1.0845,38797216,0.9944
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,stp-heapoverflow-1,2.1137,1.4216,104644037,1.1691,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,stp-heapoverflow-1,print-rt6.c,1.7560,1.1445,41266834,1.0804
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,stp-heapoverflow-2,1.8147,1.1600,40971425,0.9931,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,stp-heapoverflow-2,print-rt6.c,1.7470,1.1295,40957125,1.0501
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,stp-heapoverflow-3,1.9542,1.2668,68726956,1.0473,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,stp-heapoverflow-3,print-rt6.c,1.8435,1.2180,58515117,1.4248
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,stp-heapoverflow-4,1.9320,1.2550,58713946,0.9465,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,stp-heapoverflow-4,print-rt6.c,1.7450,1.1300,42248131,1.0526
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,stp-heapoverflow-5,1.9426,1.2568,64510507,0.9937,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,stp-heapoverflow-5,print-rt6.c,1.7670,1.1435,43234841,1.0430
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,arp-too-long-tha,2.1274,1.4274,124063158,1.0342,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,arp-too-long-tha,print-rt6.c,1.9425,1.2905,64896190,1.0214
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,juniper_header-heapoverflow,2.0305,1.3279,66809845,1.0017,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,juniper_header-heapoverflow,print-rt6.c,1.7805,1.1530,43035900,1.0451
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,tftp-heapoverflow,1.7442,1.1084,38342286,0.9256,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,tftp-heapoverflow,print-rt6.c,1.7868,1.1563,44028366,1.0598
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,relts-0x80000000,1.9326,1.2537,62619685,1.0199,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,relts-0x80000000,print-rt6.c,1.7911,1.1595,45280620,1.0588
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,ipv6hdr-heapoverflow,2.1584,1.4595,127066935,1.2214,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,ipv6hdr-heapoverflow,print-rt6.c,1.7653,1.1374,41089533,1.0433
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,ipv6hdr-heapoverflow-v,2.0832,1.3689,83577466,1.0135,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,ipv6hdr-heapoverflow-v,print-rt6.c,1.7674,1.1321,37591152,1.0131
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,otv-heapoverflow-1,1.9816,1.2805,60519729,0.9847,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,otv-heapoverflow-1,print-rt6.c,1.7747,1.1453,42045142,1.0174
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,otv-heapoverflow-2,2.0616,1.3537,77895002,0.9840,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,otv-heapoverflow-2,print-rt6.c,1.8663,1.2237,50035046,1.1357
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,q933-heapoverflow-2,1.8863,1.2300,49287899,1.1843,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,q933-heapoverflow-2,print-rt6.c,1.9105,1.2342,52055987,0.8352
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,atm-heapoverflow,1.8800,1.2242,47212417,1.1116,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,atm-heapoverflow,print-rt6.c,1.8232,1.1732,42283169,1.0305
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,ipv6-next-header-oobr-1,2.6750,1.9069,212822419,1.2765,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,ipv6-next-header-oobr-1,print-rt6.c,1.8100,1.1795,44704941,1.0558
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,ipv6-next-header-oobr-2,2.0928,1.3656,74406281,1.0014,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,ipv6-next-header-oobr-2,print-rt6.c,1.9678,1.2883,56563959,0.9164
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,snmp-heapoverflow-1,2.1722,1.4461,93620915,1.0145,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,snmp-heapoverflow-1,print-rt6.c,2.0374,1.3663,74650245,1.1348
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,snmp-heapoverflow-2,2.1147,1.3905,77033546,1.0519,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,snmp-heapoverflow-2,print-rt6.c,1.8363,1.1858,42053545,1.0505
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isoclns-heapoverflow-2,2.0505,1.3684,117012101,1.2944,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isoclns-heapoverflow-2,print-rt6.c,1.8837,1.2295,46424650,1.0999
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isoclns-heapoverflow-3,1.8021,1.1589,41892660,0.9960,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isoclns-heapoverflow-3,print-rt6.c,1.8389,1.1758,46183259,1.1027
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,stp-v4-length-sigsegv,2.3378,1.5939,128471316,1.0934,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,stp-v4-length-sigsegv,print-rt6.c,1.8306,1.1722,42006611,0.9513
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,hoobr_pimv1,1.9000,1.2489,50934288,1.1337,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,hoobr_pimv1,print-rt6.c,1.8406,1.1961,43711764,1.0281
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,hoobr_safeputs,2.3056,1.5572,110187313,1.1360,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,hoobr_safeputs,print-rt6.c,1.8650,1.2022,43493468,1.0366
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isakmp-rfc3948-oobr,2.0933,1.3650,71102088,1.0375,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isakmp-rfc3948-oobr,print-rt6.c,2.4939,1.7172,140089895,0.9852
